"Date","Period","GrossExposure","PortfolioReturn","PortfolioRisk","PredictedReturn"
2023-03-15,"2023-2024",1.5,0.00390446190941611,0.0201161332944363,0.0114022093001119
2023-03-15,"2023-2024",2,0.00390446190941611,0.0201161332944363,0.0114022093001119
2023-03-15,"2023-2024",2.5,0.00390446190941611,0.0201161332944363,0.0114022093001119
2023-03-15,"2023-2024",3,0.00390446190941611,0.0201161332944363,0.0114022093001119
2023-03-16,"2023-2024",1,0.000247209069443029,0.024494270541215,0.011069216614667
2023-03-16,"2023-2024",1.5,0.000419371948201293,0.0244719467079011,0.0112264381944379
2023-03-16,"2023-2024",2,0.000419371948201293,0.0244719467079011,0.0112264381944379
2023-03-16,"2023-2024",2.5,0.000419371948201293,0.0244719467079011,0.0112264381944379
2023-03-16,"2023-2024",3,0.000419371948201293,0.0244719467079011,0.0112264381944379
2023-03-17,"2023-2024",1,8.95397775133663e-05,0.0236739573042203,0.0125658926904146
2023-03-17,"2023-2024",1.5,0.00025450737738879,0.0235055292066491,0.0137748401143714
2023-03-17,"2023-2024",2,0.00025450737738879,0.0235055292066491,0.0137748401143714
2023-03-17,"2023-2024",2.5,0.00025450737738879,0.0235055292066491,0.0137748401143714
2023-03-17,"2023-2024",3,0.00025450737738879,0.0235055292066491,0.0137748401143714
2023-03-20,"2023-2024",1,0.000977561337634876,0.0202347402010117,0.0118112107998289
2023-03-20,"2023-2024",1.5,0.00114426579723505,0.0200999158918393,0.0120206307605792
2023-03-20,"2023-2024",2,0.00114426579723505,0.0200999158918393,0.0120206307605792
2023-03-20,"2023-2024",2.5,0.00114426579723505,0.0200999158918393,0.0120206307605792
2023-03-20,"2023-2024",3,0.00114426579723505,0.0200999158918393,0.0120206307605792
2023-03-21,"2023-2024",1,-0.000343458802730459,0.0239846838742169,0.0117176721474395
2023-03-21,"2023-2024",1.5,-0.000423713314018261,0.0239061692525382,0.0123916001949318
2023-03-21,"2023-2024",2,-0.000423713314018261,0.0239061692525382,0.0123916001949318
2023-03-21,"2023-2024",2.5,-0.000423713314018261,0.0239061692525382,0.0123916001949318
2023-03-21,"2023-2024",3,-0.000423713314018261,0.0239061692525382,0.0123916001949318
2023-03-22,"2023-2024",1,-0.00276134931588652,0.0304124408189364,0.013494645239268
2023-03-22,"2023-2024",1.5,-0.00271378853551907,0.0304101836285404,0.0136562273671807
2023-03-22,"2023-2024",2,-0.00271378853551907,0.0304101836285404,0.0136562273671807
2023-03-22,"2023-2024",2.5,-0.00271378853551907,0.0304101836285404,0.0136562273671807
2023-03-22,"2023-2024",3,-0.00271378853551907,0.0304101836285404,0.0136562273671807
2023-03-23,"2023-2024",1,0.00227201144896833,0.0243568018824689,0.0109677210999522
2023-03-23,"2023-2024",1.5,0.00243307907230488,0.024331711166915,0.0111182051478599
2023-03-23,"2023-2024",2,0.00243307907230488,0.024331711166915,0.0111182051478599
2023-03-23,"2023-2024",2.5,0.00243307907230488,0.024331711166915,0.0111182051478599
2023-03-23,"2023-2024",3,0.00243307907230488,0.024331711166915,0.0111182051478599
2023-03-24,"2023-2024",1,-0.00400325163126085,0.0195240653562439,0.0119982585713112
2023-03-24,"2023-2024",1.5,-0.00374395040750024,0.0193932910193018,0.0124372163547459
2023-03-24,"2023-2024",2,-0.00374395040750024,0.0193932910193018,0.0124372163547459
2023-03-24,"2023-2024",2.5,-0.00374395040750024,0.0193932910193018,0.0124372163547459
2023-03-24,"2023-2024",3,-0.00374395040750024,0.0193932910193018,0.0124372163547459
2023-03-27,"2023-2024",1,0.00173376761396781,0.0239991857682169,0.0117696264045538
2023-03-27,"2023-2024",1.5,0.00160771805045529,0.02390500709184,0.0126867304368961
2023-03-27,"2023-2024",2,0.00160771805045529,0.02390500709184,0.0126867304368961
2023-03-27,"2023-2024",2.5,0.00160771805045529,0.02390500709184,0.0126867304368961
2023-03-27,"2023-2024",3,0.00160771805045529,0.02390500709184,0.0126867304368961
2023-03-28,"2023-2024",1,0.00318976253387365,0.0759162760267769,0.0169914728044529
2023-03-28,"2023-2024",1.5,0.00306563126368463,0.0749028940263199,0.0190614182359221
2023-03-28,"2023-2024",2,0.00306563126368463,0.0749028940263199,0.0190614182359221
2023-03-28,"2023-2024",2.5,0.00306563126368463,0.0749028940263199,0.0190614182359221
2023-03-28,"2023-2024",3,0.00306563126368463,0.0749028940263199,0.0190614182359221
2023-03-29,"2023-2024",1,0.00070153092598962,0.0240150225118685,0.0126062546895322
2023-03-29,"2023-2024",1.5,0.000700650029725644,0.0239228603009088,0.0134589896997528
2023-03-29,"2023-2024",2,0.000700650029725644,0.0239228603009088,0.0134589896997528
2023-03-29,"2023-2024",2.5,0.000700650029725644,0.0239228603009088,0.0134589896997528
2023-03-29,"2023-2024",3,0.000700650029725644,0.0239228603009088,0.0134589896997528
