"Date","GrossExposure","PortfolioReturn","ForecastedRisk"
2023-02-15,1,0.000158156345438437,0.0202412514659739
2023-02-15,1.5,-0.000105965224258933,0.0285570229227481
2023-02-15,2,-0.000141286965678577,0.0380760305636641
2023-02-15,2.5,-0.000176608707098222,0.0475950382045801
2023-02-15,3,-0.000211930448517866,0.0571140458454961
2023-02-16,1,0.00149752741221568,0.0243137982902922
2023-02-16,1.5,0.00233342102624047,0.034899755553557
2023-02-16,2,0.0031112280349873,0.0465330074047427
2023-02-16,2.5,0.00388903504373412,0.0581662592559283
2023-02-16,3,0.00466684205248095,0.069799511107114
2023-02-17,1,-0.000535483804228692,0.024453779738286
2023-02-17,1.5,-0.00098397804162041,0.035537900618369
2023-02-17,2,-0.00131197072216055,0.0473838674911586
2023-02-17,2.5,-0.00163996340270068,0.0592298343639483
2023-02-17,3,-0.00196795608324082,0.071075801236738
2023-02-21,1,0.00209978661390153,0.0195327275612585
2023-02-21,1.5,0.00356286347266171,0.0277009453533149
2023-02-21,2,0.00475048463021561,0.0369345938044199
2023-02-21,2.5,0.00593810578776951,0.0461682422555248
2023-02-21,3,0.00712572694532342,0.0554018907066298
2023-02-22,1,0.00292409242536586,0.0247695235308531
2023-02-22,1.5,0.00429369319855035,0.0367383526509789
2023-02-22,2,0.0057249242647338,0.0489844702013052
2023-02-22,2.5,0.00715615533091725,0.0612305877516316
2023-02-22,3,0.0085873863971007,0.0734767053019579
2023-02-23,1,-0.00109904796781673,0.0195351654886413
2023-02-23,1.5,-0.00178973023651574,0.0277089128798592
2023-02-23,2,-0.00238630698202099,0.0369452171731456
2023-02-23,2.5,-0.00298288372752624,0.046181521466432
2023-02-23,3,-0.00357946047303149,0.0554178257597184
2023-02-24,1,-3.52776421648623e-05,0.023537301104314
2023-02-24,1.5,0.000245684743680283,0.0324338727515651
2023-02-24,2,0.000327579658240378,0.0432451636687535
2023-02-24,2.5,0.000409474572800472,0.0540564545859419
2023-02-24,3,0.000491369487360566,0.0648677455031303
2023-02-27,1,0.00201683898450676,0.0235397737650127
2023-02-27,1.5,0.00224411286245894,0.032439460125373
2023-02-27,2,0.00299215048327858,0.0432526135004973
2023-02-27,2.5,0.00374018810409823,0.0540657668756217
2023-02-27,3,0.00448822572491787,0.064878920250746
2023-02-28,1,0.00242058983894807,0.0195595375577969
2023-02-28,1.5,0.00326013333435711,0.027732680220404
