Date,Close,Open,High,Low
,SPLRCD,SPLRCD,SPLRCD,SPLRCD
2016.6.30,620.41,616.37,620.53,613.77
2016.6.29,615.77,607.26,616.89,607.26
2016.6.28,605.84,598.37,605.86,598.37
2016.6.27,594.49,603.15,603.15,589.71
2016.6.24,605.69,625.73,625.73,604
2016.6.23,628.46,624.49,628.46,624.49
2016.6.22,622.57,623.84,627.34,622.16
2016.6.21,623.64,625.22,626.19,622.28
2016.6.20,624.92,620.14,630.58,620.14
2016.6.17,619.51,620.4,621.43,618.33
2016.6.16,620.42,617.07,621.04,611.79
2016.6.15,618.1,617.35,623.37,617.35
2016.6.14,616.47,617.1,618.92,612.77
2016.6.13,618.08,621.73,624.88,617.84
2016.6.10,621.97,625.53,625.53,620.07
2016.6.9,628.46,629.12,629.12,625.88
2016.6.8,629.69,629.22,630.79,627.46
2016.6.7,629.15,628.71,631.98,628.71
2016.6.6,628.34,627.9,629.65,625.49
2016.6.3,627.58,630.49,630.49,622.85
2016.6.2,631.06,628.02,631.06,626.02
2016.6.1,627.94,628.02,628.25,623.97
2016.5.31,628.78,629.79,630.05,625.97
2016.5.27,629.44,626.96,630.1,626.96
2016.5.26,626.4,625.69,628.81,625.45
2016.5.25,625.12,622.43,626.49,622.43
2016.5.24,622.09,614.59,623.52,614.59
2016.5.23,614.16,616.26,618.34,613.86
2016.5.20,616.59,612.75,618.61,612.75
2016.5.19,612.58,612.97,613.36,608.29
2016.5.18,613.14,615.94,617,609.15
2016.5.17,616.74,623.76,624.27,615.03
2016.5.16,623.93,620.23,625.78,618.46
2016.5.13,620.33,627.06,627.17,619.84
2016.5.12,627.22,626.76,629.99,623.17
2016.5.11,626.4,638.93,638.93,626.12
2016.5.10,639.04,631.45,639.31,631.45
2016.5.9,631.13,629.06,632.97,629.06
2016.5.6,629.13,624.68,629.14,621.66
2016.5.5,625,629.22,629.62,624.39
2016.5.4,628.95,631.04,631.51,626.12
2016.5.3,631.94,636.51,636.51,630.6
2016.5.2,637.53,629.43,638.16,629.43
2016.4.29,628.76,624.71,631.89,624.26
2016.4.28,625.58,632.45,634.91,624.43
2016.4.27,632.62,633.11,634.07,629.44
2016.4.26,633.27,632.29,635.28,630.1
2016.4.25,631.84,630.08,631.87,627.41
2016.4.22,630.87,632.69,634.49,627.27
2016.4.21,632.67,634.35,637.46,632.24
2016.4.20,634.24,634.36,636.7,631.79
2016.4.19,634,636.64,638.94,631.48
2016.4.18,637.04,631.16,637.09,631.16
2016.4.15,631.28,629.84,631.77,628.1
2016.4.14,629.47,629.85,631.47,627.6
2016.4.13,629.39,622.97,629.8,622.97
2016.4.12,621.02,616.74,621.89,613.73
2016.4.11,616.09,618.98,623.28,616.05
2016.4.8,618.59,620.69,624,616.34
2016.4.7,619.55,625.7,626.04,616.95
2016.4.6,626.78,620.96,627.16,620.12
2016.4.5,620.92,624.89,624.89,619.43
2016.4.4,626.19,631.78,632.03,625.4
2016.4.1,631.61,627.43,632.49,624.22
2016.3.31,628.44,629.15,630.72,627.64
2016.3.30,629.03,626.49,630.54,626.49
2016.3.29,625.13,619.03,625.82,618.5
2016.3.28,619.28,616.61,621.65,616.61
2016.3.24,616.15,614.54,616.31,611.57
2016.3.23,615.61,619.42,619.42,614.92
2016.3.22,619.5,620.56,621.52,616.25
2016.3.21,620.99,620.35,621.53,617.04
2016.3.18,620.75,620.29,623.66,619.6
2016.3.17,620.14,618.23,621.99,616.77
2016.3.16,618.45,613.07,620.17,612.42
2016.3.15,613.97,612.54,614.1,610.91
2016.3.14,614.05,610.72,615.74,610.41
2016.3.11,611.64,604.13,611.7,604.13
2016.3.10,602.17,601.86,606.34,594.8
2016.3.9,601.15,601.06,602.27,597.31
2016.3.8,600.28,604.49,605.75,599.63
2016.3.7,605.33,607.09,608.15,601.59
2016.3.4,608.17,608.49,610.51,605.35
2016.3.3,608.35,604.44,608.37,602.25
2016.3.2,604.99,605.17,605.64,600.82
2016.3.1,605.68,591.57,605.97,591.57
2016.2.29,590.19,593.07,597.72,590.11
2016.2.26,593.25,595.06,596.98,591.85
2016.2.25,593.96,588.43,594.02,585.37
2016.2.24,588.13,583.26,589,573.49
2016.2.23,584.69,587.31,590.28,583.19
2016.2.22,587.94,577.98,588.76,577.98
2016.2.19,576.92,574.69,576.92,568.14
2016.2.18,575.03,578.96,579.63,573.29
2016.2.17,578.91,567.01,580.48,567.01
2016.2.16,566.94,553.98,566.94,553.98
2016.2.12,553.27,545.26,553.52,544.29
2016.2.11,543.54,542.54,546.9,536.59
2016.2.10,543.99,545.76,553.16,543.67
2016.2.9,544.41,544.65,550.93,538.6
2016.2.8,545.85,554.44,554.44,536.34
2016.2.5,556.82,573.81,573.81,555.1
2016.2.4,575.15,578.1,578.51,570.17
