Date,Selected_Assets
2022-02-17,"['BTC', 'CAC40', 'COCOA', 'COTTON', 'EuroStoxx50', 'Gold', 'HangSeng', 'IWM', 'Nasdaq.US.Benchmark.Consumer.Digital.Services', 'Naver', 'NYSE', 'QQQ', 'Shanghai', 'US_Dollar_Index', 'US3M', 'USDCNY', 'VIX', 'WTI', 'XLE', 'XLF', 'XLI', 'XLK', 'XLP', 'XLRE', 'XLU', 'XLV', 'XLY']"
2022-02-18,"['BTC', 'CAC40', 'COCOA', 'COTTON', 'HangSeng', 'IWM', 'Nasdaq.US.Benchmark.Consumer.Digital.Services', 'NYSE', 'QQQ', 'US_Dollar_Index', 'USDCNY', 'VIX', 'XLE', 'XLF', 'XLI', 'XLK', 'XLP', 'XLRE', 'XLU', 'XLV', 'XLY']"
2022-02-22,"['BTC', 'CAC40', 'COCOA', 'COTTON', 'EuroStoxx50', 'Gold', 'HangSeng', 'IWM', 'Nasdaq.US.Benchmark.Consumer.Digital.Services', 'Naver', 'NYSE', 'QQQ', 'Shanghai', 'US_Dollar_Index', 'US3M', 'USDCNY', 'VIX', 'WTI', 'XLE', 'XLF', 'XLI', 'XLK', 'XLP', 'XLRE', 'XLU', 'XLV', 'XLY']"
2022-02-23,"['BTC', 'CAC40', 'COCOA', 'COTTON', 'DAX', 'EuroStoxx50', 'EURUSD', 'Gold', 'HangSeng', 'Hyundai', 'IWM', 'LGChem', 'Nasdaq.US.Benchmark.Consumer.Digital.Services', 'Naver', 'NYSE', 'QQQ', 'Shanghai', 'Silver', 'US_Dollar_Index', 'US3M', 'USDCNY', 'VIX', 'XLE', 'XLF', 'XLI', 'XLK', 'XLP', 'XLRE', 'XLU', 'XLV', 'XLY']"
2022-02-24,"['BTC', 'CAC40', 'COCOA', 'COTTON', 'DAX', 'EURUSD', 'Gold', 'HangSeng', 'Hyundai', 'IWM', 'LGChem', 'Nasdaq.US.Benchmark.Consumer.Digital.Services', 'Naver', 'NYSE', 'OMX', 'QQQ', 'Shanghai', 'Silver', 'US_Dollar_Index', 'US3M', 'USDCNY', 'VIX', 'XLE', 'XLF', 'XLI', 'XLK', 'XLP', 'XLRE', 'XLU', 'XLV', 'XLY']"
2022-02-25,"['BTC', 'CAC40', 'COCOA', 'COTTON', 'DAX', 'EUR_KRW', 'EuroStoxx50', 'EURUSD', 'FTSE100', 'Gold', 'HangSeng', 'Hyundai', 'IWM', 'LGChem', 'Nasdaq.US.Benchmark.Consumer.Digital.Services', 'Naver', 'NYSE', 'OMX', 'Platinum', 'QQQ', 'Shanghai', 'Silver', 'US_Dollar_Index', 'US3M', 'USDCNY', 'VIX', 'XLE', 'XLF', 'XLI', 'XLK', 'XLP', 'XLRE', 'XLU', 'XLV', 'XLY']"
2022-02-28,"['BTC', 'CAC40', 'COCOA', 'COTTON', 'DAX', 'EUR_KRW', 'EuroStoxx50', 'EURUSD', 'FTSE100', 'Gold', 'HangSeng', 'Hyundai', 'IWM', 'LGChem', 'Nasdaq.US.Benchmark.Consumer.Digital.Services', 'Naver', 'NYSE', 'OMX', 'Platinum', 'QQQ', 'Shanghai', 'Silver', 'STEEL', 'US_Dollar_Index', 'US3M', 'USDCNY', 'VIX', 'XLE', 'XLF', 'XLI', 'XLK', 'XLP', 'XLRE', 'XLU', 'XLV', 'XLY']"
2022-03-01,"['BTC', 'COCOA', 'COTTON', 'DAX', 'EuroStoxx50', 'Gold', 'HangSeng', 'Hyundai', 'IWM', 'LGChem', 'Nasdaq.US.Benchmark.Consumer.Digital.Services', 'Naver', 'NYSE', 'QQQ', 'Shanghai', 'Silver', 'US_Dollar_Index', 'US3M', 'USDCNY', 'VIX', 'XLE', 'XLF', 'XLI', 'XLK', 'XLP', 'XLRE', 'XLU', 'XLV', 'XLY']"
2022-03-02,"['BTC', 'COCOA', 'COTTON', 'DAX', 'Gold', 'HangSeng', 'Hyundai', 'IWM', 'LGChem', 'Nasdaq.US.Benchmark.Consumer.Digital.Services', 'NYSE', 'QQQ', 'Shanghai', 'Silver', 'US_Dollar_Index', 'US3M', 'USDCNY', 'VIX', 'XLE', 'XLF', 'XLI', 'XLK', 'XLP', 'XLRE', 'XLU', 'XLV', 'XLY']"
2022-03-03,"['BTC', 'COCOA', 'COTTON', 'DAX', 'Gold', 'HangSeng', 'Hyundai', 'IWM', 'LGChem', 'Nasdaq.US.Benchmark.Consumer.Digital.Services', 'NYSE', 'QQQ', 'Shanghai', 'Silver', 'US_Dollar_Index', 'US3M', 'USDCNY', 'VIX', 'XLE', 'XLF', 'XLI', 'XLK', 'XLP', 'XLRE', 'XLU', 'XLV', 'XLY']"
2022-03-04,"['BTC', 'COCOA', 'COTTON', 'EUR_KRW', 'HangSeng', 'Hyundai', 'IWM', 'LGChem', 'Nasdaq.US.Benchmark.Consumer.Digital.Services', 'Naver', 'NYSE', 'QQQ', 'Silver', 'US_Dollar_Index', 'US3M', 'USDCNY', 'VIX', 'XLE', 'XLF', 'XLI', 'XLK', 'XLP', 'XLRE', 'XLU', 'XLV', 'XLY']"
2022-03-07,"['BTC', 'COCOA', 'COTTON', 'HangSeng', 'IWM', 'LGChem', 'Nasdaq.US.Benchmark.Consumer.Digital.Services', 'NYSE', 'QQQ', 'Silver', 'US_Dollar_Index', 'US3M', 'USDCNY', 'VIX', 'XLE', 'XLF', 'XLI', 'XLK', 'XLP', 'XLRE', 'XLU', 'XLV', 'XLY']"
2022-03-08,"['BTC', 'COCOA', 'COTTON', 'HangSeng', 'IWM', 'LGChem', 'Nasdaq.US.Benchmark.Consumer.Digital.Services', 'NYSE', 'QQQ', 'Silver', 'SUGAR', 'US_Dollar_Index', 'US3M', 'USDCNY', 'VIX', 'XLE', 'XLF', 'XLI', 'XLK', 'XLP', 'XLU', 'XLV', 'XLY']"
